id;titre;description;ville;type;etat;date_annonce
1;incentivize capacitor;synergistic vortals;MAHDIA;TROUVE;HIDDEN;2021-05-05T18:34:22
2;ADP Mongolia;purple;SOUSSE;PERDU;HIDDEN;2021-05-06T02:31:03
3;Dinar;granular Future;MONASTIR;PERDU;ARCHIVED;2021-05-06T13:48:03
4;e-markets Rubber;static Soft;SOUSSE;TROUVE;DELETED;2021-05-06T12:08:31
5;Computers withdrawal;Directives explicit Ergonomic;MAHDIA;TROUVE;HIDDEN;2021-05-06T00:54:42
6;Loan Dynamic quantify;online Card Health;SFAX;PERDU;DELETED;2021-05-06T03:37:10
7;Reactive Hampshire Managed;Bedfordshire Avon;MONASTIR;TROUVE;DELETED;2021-05-06T00:20:17
8;parsing digital Usability;maroon pink Berkshire;TUNIS;TROUVE;ARCHIVED;2021-05-05T22:06:41
9;haptic Street Salad;Polarised;TUNIS;TROUVE;HIDDEN;2021-05-05T23:13:44
10;maximized end-to-end;Ergonomic navigating;MONASTIR;PERDU;DELETED;2021-05-06T12:48:26
