id;title;logo;logo_content_type
1;Jordanian Views;../fake-data/blob/hipster.png;image/png
2;optical Cotton;../fake-data/blob/hipster.png;image/png
3;payment Serbian;../fake-data/blob/hipster.png;image/png
4;Account deliverables;../fake-data/blob/hipster.png;image/png
5;Product Automotive Berkshire;../fake-data/blob/hipster.png;image/png
6;web-enabled Cambridgeshire haptic;../fake-data/blob/hipster.png;image/png
7;Cambridgeshire;../fake-data/blob/hipster.png;image/png
8;ROI Land;../fake-data/blob/hipster.png;image/png
9;Manager transparent Metal;../fake-data/blob/hipster.png;image/png
10;Practical Kentucky;../fake-data/blob/hipster.png;image/png
