id;title;creation_date;logo;logo_content_type;color
1;withdrawal;2021-05-06T02:49:17;../fake-data/blob/hipster.png;image/png;blue
2;JSON;2021-05-05T21:54:23;../fake-data/blob/hipster.png;image/png;fuchsia
3;Saudi Account Directives;2021-05-05T14:51:47;../fake-data/blob/hipster.png;image/png;violet
4;withdrawal;2021-05-05T17:25:28;../fake-data/blob/hipster.png;image/png;sky blue
5;analyzing pixel Awesome;2021-05-06T07:50:42;../fake-data/blob/hipster.png;image/png;white
6;bluetooth;2021-05-05T21:08:30;../fake-data/blob/hipster.png;image/png;magenta
7;Frozen;2021-05-05T17:31:10;../fake-data/blob/hipster.png;image/png;teal
8;Exclusive;2021-05-06T01:56:44;../fake-data/blob/hipster.png;image/png;orchid
9;e-markets transmitting;2021-05-05T19:19:36;../fake-data/blob/hipster.png;image/png;orchid
10;Fresh Union Consultant;2021-05-05T14:48:07;../fake-data/blob/hipster.png;image/png;maroon
